name,price,ratedBy
Nykaa Cosmetics Eyes On Me! 4 in 1 Quad Eyeshadow Palette - ...,₹375,( 5549 )
Nykaa So Creme! Creamy Matte Lipstick - Game On,₹325,( 68233 )
Nykaa 8hour Lasting Full Cover Matte Gloss,₹439,( 1056 )
Nykaa Glow Goals! Shimmer Brick Highlighter Palette,₹629,( 4128 )
Nykaa Eyes On Me! 10-in-1 Eyeshadow Palette - Daydreaming,₹599,( 22201 )
Nykaa Eyes On Me! 10-in-1 Eyeshadow Palette - Tinsel Twiligh...,₹539,( 22201 )
Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Co...,₹359,( 4608 )
Nykaa SKINgenius BB Cream SPF30 - Soft Beige 02,₹314,( 10141 )
Nykaa Lash Talk Super Sizer Volumizing Mascara,₹399,( 13065 )
Nykaa Get Cheeky! Blush Duo Palette - Brazilian Bombshell 01,₹580,( 6405 )
Nykaa Love Struck Perfume - First Date,₹699,( 7438 )
Nykaa Cosmetics Endless Nights Eau De Parfum,₹1499,( 115 )
Nykaa GLAMOReyes Coloured Liquid Eyeliner - 02 Chaotic Calyp...,₹293,( 11514 )
Nykaa So Creme! Creamy Matte Lipstick - It's a Date,₹276,( 68233 )
Nykaa So Matte! Mini Lipstick - 11 Naughty Nude,₹188,( 88728 )
Nykaa Ultra Matte Mini Lipstick - Helena 12,₹224,( 21744 )
Masaba By Nykaa Perfume,₹1080,( 1076 )
Nykaa Get Cheeky! Blush Duo palette - Malibu Barbie 03,₹653,( 6405 )
Nykaa Mirror Chrome Nail Lacquer,₹187,( 4243 )
Nykaa Oh My Brow! Eyebrow Mascara - Sirius Brown,₹519,( 1376 )
Nykaa Star Studded Glitter Coat Nail Enamel,₹212,( 3765 )
Nykaa So Creme! Creamy Matte Lipstick - Walk the Walk,₹293,( 68233 )
Nykaa So Matte! Mini Lipstick - 30 M Regal Ruby,₹209,( 88728 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹375,( 15576 )
Nykaa Eyem Bold Kajal With Free Sharpener (Deep Black 001),₹549,( 3990 )
Nykaa Ultra Matte Mini Lipstick - Jane 11,₹249,( 21744 )
Nykaa So Creme! Creamy Matte Lipstick - Traffic Jammin',₹260,( 68233 )
Nykaa Cosmetics Eyes On Me! 4 in 1 Quad Eyeshadow Palette - ...,₹338,( 5549 )
Nykaa Cosmetics Eyes On Me! 4 in 1 Quad Eyeshadow Palette - ...,₹338,( 5549 )
Nykaa So Creme! Creamy Matte Lipstick - Dressed to Kill,₹325,( 68233 )
Nykaa So Matte! Mini Lipstick - 26 M Bon Bon,₹209,( 88728 )
Nykaa Matte To Last! Mini Liquid Lipstick - Maharani 02,₹249,( 80627 )
Nykaa Unicorn Potion Nail Enamel,₹199,( 8488 )
Nykaa Matte Nail Lacquer - Nutcracker Dreams 151,₹191,( 53051 )
Nykaa InstaBlur Color Corrector Stick - Peach,₹494,( 3772 )
Nykaa Cookie Crumble Nail Enamel,₹199,( 14677 )
Nykaa Cosmetics Black Magic Kajal Set Of 2,₹289,( 13280 )
Nykaa Browgirl Eyebrow Definer Pencil - Bewitched Chestnut,₹499,( 2654 )
Nykaa Holographic Pouch,₹320,( 2055 )
Nykaa BlendPro Blush Makeup Brush,₹599,( 1169 )
Nykaa Ultra Matte Mini Lipstick - Cleopatra 08,₹249,( 21744 )
Nykaa Matte to Last! Transfer Proof Liquid Lipstick - Boho-1...,₹649,( 38146 )
Nykaa Eyem BLACK Kajal Eyeliner With Free Nykaa Sharpener Bl...,₹404,( 3746 )
Masaba By Nykaa Nail Enamel Remover,₹165,( 1186 )
Nykaa Dual Tone Nail Enamel Remover,₹99,( 3325 )
Nykaa All Day Matte 12Hr Oil Control Face Compact Powder Wit...,₹224,( 17159 )
Nykaa Matte to Last! Transfer Proof Liquid Lipstick - Mahara...,₹649,( 38146 )
Nykaa Matte To Last! Mini Liquid Lipstick - Janhvi 23,₹249,( 80627 )
Nykaa So Creme! Creamy Matte Lipstick - Day Dreaming,₹325,( 68233 )
Nykaa Brow Chika WOW Eyebrow Pencil - Coven Cocoa 01,₹359,( 1941 )
Nykaa Get Inked! Sketch Eyeliner Pen - Onyx 01,₹449,( 4636 )
Nykaa SKINgenius Sculpting & Hydrating Dewy Foundation For D...,₹575,( 6856 )
Nykaa Gold Rush Nail Lacquer,₹199,( 2352 )
Nykaa So Matte! Mini Lipstick - 07 Wicked Wine,₹209,( 88728 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹375,( 15576 )
Nykaa Love Struck Perfume - Stay With Me,₹594,( 7438 )
Nykaa SKINgenius BB Cream SPF30 - Rich Honey 03,₹297,( 10141 )
Nykaa Wing In A Blink Eyeliner Pen - Dark Knight 01,₹539,( 3777 )
Nykaa Ultra Matte Mini Lipstick - Grace 07,₹224,( 21744 )
Nykaa All Day Matte 12Hr Oil Control Face Compact Powder Wit...,₹224,( 17159 )
Nykaa So Creme! Creamy Matte Lipstick - Pep Talk,₹293,( 68233 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹338,( 15576 )
Nykaa Matte To Last! Mini Liquid Lipstick - Boho 16,₹249,( 80627 )
Nykaa Love Struck Perfume - Love Notes,₹699,( 7438 )
Nykaa Matte to Last! Transfer Proof Liquid Lipstick - Janhvi...,₹649,( 38146 )
Nykaa BlendPro Concealer Makeup Brush,₹399,( 1174 )
Nykaa Ultra Matte Lipstick - Helen 01,₹563,( 10052 )
Nykaa Professional Makeup Palette - Eyeshadow & Blush,₹2399,( 255 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹338,( 15576 )
Nykaa Cosmetics Nail Your Look Combo,₹608,( 161 )
Nykaa Love Struck Perfume - Hidden Blush,₹629,( 7438 )
"Nykaa Moi Mini Fragrance Gift Combo - Amour, Bisous, Joie De...",₹896,( 220 )
Nykaa Ultra Matte Mini Lipstick - Coco 17,₹224,( 21744 )
Nykaa Ultra Matte Mini Lipstick - Cher 14,₹212,( 21744 )
Nykaa Ultra Matte Mini Lipstick - Madhu 16,₹249,( 21744 )
Nykaa GLAMOReyes Coloured Liquid Eyeliner - 03 Enchanting Fo...,₹293,( 11514 )
Nykaa GLAMOReyes Coloured Liquid Eyeliner - 04 Mystic Woods,₹276,( 11514 )
Nykaa BuffMaster Silicone Makeup Brush Cleaner,₹224,( 1912 )
Nykaa Unicorn Potion Nail Enamel Polish - Frosted Fairy 239,₹224,( 8488 )
Janhvi's Must Have Lipstick Duo,₹585,( 52 )
Nykaa SKINgenius Foundation Stick Conceal Contour & Correcto...,₹575,( 6177 )
Janhvi Kapoor X Nykaa kits - Lip Wardrobe,₹575,( 111 )
Nykaa Cosmetics Power Pouts With Nykaa So Matte Minis- Bare ...,₹564,( 97 )
Nykaa Lip Crush Macaron Lip Balm - Chocolate Hazelnut 02,₹251,( 27691 )
Nykaa So Matte! Mini Lipstick - 47 M Bare Minimum,₹209,( 88728 )
Nykaa Sealed with a Kiss! Lipstick Palette - Flower Child 02,₹629,( 6684 )
Nykaa So Matte! Mini Lipstick - 17 M Cranberry Sangria,₹188,( 88728 )
Nykaa Blendmaster Blend And Bake Makeup Sponge Beauty Blende...,₹338,( 2159 )
Nykaa Get Cheeky! Blush Duo Palette - Cali Chick 02,₹616,( 6405 )
Nykaa Cosmetics Drama Eye Look - Like It Long Mascara + Blac...,₹738,( 37844 )
Nykaa Cosmetics Endless Nights Eau De Parfum - Midnight Pass...,₹1499,( 115 )
Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Co...,₹539,( 4608 )
Nykaa Cosmetics Blendpro Brushes Eye Series (Eyeshadow Blend...,₹762,( 5748 )
Nykaa Matte Luxe Lipstick - Artisanal Coffee,₹660,( 5510 )
Nykaa Cosmetics Eyes On Me! 4 in 1 Quad Eyeshadow Palette - ...,₹375,( 5549 )
Janhvi Kapoor X Nykaa kits - Handbag Heroes,₹798,( 102 )
Nykaa So Matte! Mini Lipstick - 16 M Spiced Cabernet,₹188,( 88728 )
Nykaa Bling It On! Mini Travel-Size Makeup Pouch - Gold Twin...,₹179,( 7832 )
Nykaa Matte to Last! Mini Liquid Lipstick - Jhumki 14,₹224,( 80627 )
Nykaa BlendPro Foundation Makeup Brush,₹424,( 980 )
Nykaa Serial Kisser Lip Balm - Raspberry,₹149,( 14951 )
Nykaa Contour & Conquer - Contour and Highlight Duo - Sizzle...,₹616,( 1195 )
Nykaa Love Struck Perfume - Stolen Glance,₹594,( 7438 )
Nykaa Nail Enamel Polish - Blackcurrant Gelato 72,₹189,( 62888 )
Nykaa So Matte! Mini Lipstick - 20M Caramel Margharita,₹209,( 88728 )
Nykaa Glow Goals! Shimmer Brick Highlighter Palette - Good O...,₹629,( 4128 )
Nykaa Matte To Last! Mini Liquid Lipstick - Gul 17,₹249,( 80627 )
